Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Priority,CurrentState,CreatedAt,AcceptedAt,Deadline,Requested By,Description,URL,Owned By,Owned By,Comment1,Comment2,Comment3,Comment4,Comment5,Comment6,Comment7,Comment8,Comment9,Comment10,Comment11,Comment12,Comment13,Comment14,Comment15,Comment16,Comment17,Comment18,Comment19,Comment20,Comment21,Comment22,Comment23,Comment24,Comment25,Comment26,Comment27,Comment28,Comment29,Comment30,Comment31,Comment32,Comment33,Comment34,Comment35,Comment36,Comment37,Comment38,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
5257125,NestingZ,nestingz,,,,epic,,,,10-May-24,,,,,https://www.pivotaltracker.com/epic/show/5257125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187583865,Story 1: Addition of new fields to the AET Table,nestingz,681,11-Jun-24,17-Jun-24,feature,1,p3 - Low,accepted,10-May-24,18-Jun-24,,Sreedhar Reddy,"1.	Refer Alterations entity table http://admin.larvolinsight.com/Entities/AlterationManager/Default.aspx
2.	New fields to be added to the AET entry form
3.	Applicable for new forms and when an existing form is edited
4.	New fields to be added
a.	Somatic / Germline
b.	Validation Status 
c.	Veri Active
d.	Clin Active
",https://www.pivotaltracker.com/story/show/187583865,Amit Chauhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187583866,Story 2: Order and behaviour of the new fields to be added in the AET,nestingz,681,11-Jun-24,17-Jun-24,feature,2,p3 - Low,accepted,10-May-24,18-Jun-24,,Sreedhar Reddy,"1.	Somatic / Germline – 
a.	To be added after Description field
b.	Dropdown showing the values
i.	Somatic
ii.	Germline
iii.	Both
iv.	Unknown
c.	Mandatory and by default for new records it will show as None 
d.	For existing records when edited add validation rule only if the field is selected
2.	Validation Status – 
a.	Added after field Somatic / Germline
b.	Dropdown showing values – 
i.	Labeled
ii.	Guideline
iii.	Pre-registration Designation
c.	Optional and by default it should show blank
d.	For existing records this will be blank
3.	Is Veri Active – 
a.	To be added after Alteration Type
b.	Radio button 
c.	Default status to be true for existing records and when new record is created
4.	Changes to current is active field
a.	Rename field to – Is Clin Active 
",https://www.pivotaltracker.com/story/show/187583866,Amit Chauhan,," (Sreedhar Reddy - May 10, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187583867,Story 3: Addition of new record under Alteration Type,nestingz,681,11-Jun-24,17-Jun-24,feature,1,p3 - Low,accepted,10-May-24,18-Jun-24,,Sreedhar Reddy,"1.	List of values to be shown in the Alteration Type dropdown 
a.	None – Default value shown
b.	Antigen Positive
c.	Amplification
d.	CAN
e.	Chromosomal Abnormalities 
f.	Deletion-Inframe
g.	Expression
h.	Fusion
i.	Gene Deletion
j.	Insertion-Inframe
k.	Mutation
l.	Missense Variant 
m.	Mutation / Deletion
n.	Others
o.	Rearrangement
p.	Signature
q.	Translocation
r.	Wild-Type
",https://www.pivotaltracker.com/story/show/187583867,Amit Chauhan,,"Alteration type dropdown already have a value CNA, in the above list there is a value CAN. Should we need to keep both or this is misspelled as CAN here? @nandinibv  @sreedharr  (Amit Chauhan - May 17, 2024)","It should be only CNA. CAN is a typo and should not be considered  (Sreedhar Reddy - May 17, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187583868,Story 4: Addition of new columns to the AET Grid,nestingz,681,11-Jun-24,17-Jun-24,feature,1,p3 - Low,accepted,10-May-24,18-Jun-24,,Sreedhar Reddy,"1.	Add columns after Description
a.	Somatic / Germline
b.	Validation Status 
c.	Veri Active
d.	Clin Active
2.	Addition of new columns to the excel export of AET Grid – List of all columns and the order of columns to be followed in the excel export
a.	Display Name	
b.	Cancer Gene	
c.	Somatic / Germline
d.	Validation Status 
e.	Alteration Type	
f.	Veri Active
g.	Clin Active
h.	Created On	
i.	Created By	
j.	Modified On	
k.	Modified By
3.	Addition of new fields to the Alteration API
a.	Somatic / Germline
b.	Validation Status 
c.	Veri Active
d.	Change Is active to clin_active 
",https://www.pivotaltracker.com/story/show/187583868,Amit Chauhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5278635,ModalityZ Tag,modalityz tag,,,,epic,,,,15-Jul-24,,,,,https://www.pivotaltracker.com/epic/show/5278635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187954956,Story 1: In the product entity show the attribute if a product type is tagged as modality in the product type entity table.,modalityz tag,688,30-Jul-24,05-Aug-24,feature,1,p3 - Low,accepted,15-Jul-24,30-Jul-24,,Sreedhar Reddy,"1.	Refer to http://admin.larvolinsight.com/Entities/ProductManager/ProductFlatform.aspx?ProductId=9cd77f86-adb7-4186-85e7-47d3e44f0530
2.	This product is tagged to two product types. One of the product type is Chemotherapy which is tagged in product type entity table as Modality
3.	Check http://admin.larvolinsight.com/Entities/ProductTypeManager/Detail.aspx?product_type_id=d5cc73f3-66cd-477c-9381-b108645ab0c0 where Modality is checked
4.	In such cases in PET show a check for modality next to product type
5.	This is only display field and non editable. Refer screenshot
",https://www.pivotaltracker.com/story/show/187954956,Amit Chauhan,," (Sreedhar Reddy - Jul 15, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187954957,Story 2: Analyst should not be able to tag more than one product type that has modality checked,modalityz tag,688,30-Jul-24,05-Aug-24,feature,1,p3 - Low,accepted,15-Jul-24,30-Jul-24,,Sreedhar Reddy,"1.	When product type is tagged to a product, analyst can tag multiple product types (Current scenario)
2.	Logic to updated to 
a.	Analyst can tag a product to multiple product types
b.	However if a product type is having modality checked then they should not be able to link another product type that has modality checked
3.	Rule is that for a product team can tag any number of product types but should not be able tag more than one product type that has modality checked
4.	Show error  in such scenario – There is already one product type tagged with modality. You cannot tag more than one product type with modality.
5.	In current scenario if a product is already tagged to product types that have more than one modality, system should not allow the user to save the record when its opened for editing unless its corrected. 
",https://www.pivotaltracker.com/story/show/187954957,Amit Chauhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187954962,Story 3: Update the Product API to include the modality check for product type,modalityz tag,688,30-Jul-24,05-Aug-24,feature,1,p3 - Low,accepted,15-Jul-24,30-Jul-24,,Sreedhar Reddy,"1.	Addition of new field for product type 
2.	Field to add Modality – True or False 
3.	Information will be fetched based on the product type from modality field in the product type entity field
4.	Field to be added to each product type linked to the product.
5.	Ex: 
	<product_type_id>a7f9179d-32f5-4171-a27d-97c129340d7f</product_type_id>
				<name>Small Molecule</name>
			</product_type>
<Modality> False </Modality>
			<product_type>
				<product_type_id>d5cc73f3-66cd-477c-9381-b108645ab0c0</product_type_id>
				<name>Chemotherapy</name>
<Modality> True </Modality>
			</product_type>
		</product_types>
		
",https://www.pivotaltracker.com/story/show/187954962,Amit Chauhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5241551,PET EnhancemetnsZ,pet enhancemetnsz,,,,epic,,,,26-Mar-24,,,,,https://www.pivotaltracker.com/epic/show/5241551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187529228,The product details of pet export is showing wrong data. ,pet enhancemetnsz,676,07-May-24,13-May-24,bug,0,p3 - Low,accepted,01-May-24,13-May-24,,sheelahs,"Area information, highest phase, Discontination status, linked reports, premium linked reports data is showing wrong. ",https://www.pivotaltracker.com/story/show/187529228,Abhay Kumar,,"http://adminstage.larvolinsight.com/Entities/ProductManager/ProductFlatform.aspx?ProductId=9ff79c30-a0cf-45f4-9985-58c9a8a32856
 (sheelahs - May 1, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187312228,Story 1: Addition of new fields to the product entity page (PET),pet enhancemetnsz,676,07-May-24,13-May-24,feature,1,p3 - Low,accepted,26-Mar-24,13-May-24,,Sreedhar Reddy,"1.	To be added in existing forms and when a new product is created
2.	List of fields to be added
a.	DAR	
b.	Conjugation Group	
c.	Conjugation AA	
d.	SS Conjugation
e.	Bystander
3.	To be added below the ADC Antibody field.
",https://www.pivotaltracker.com/story/show/187312228,Abhay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187312231,Story 2: Rules for the new fields and field behaviour,pet enhancemetnsz,676,07-May-24,13-May-24,feature,2,p3 - Low,accepted,26-Mar-24,13-May-24,,Sreedhar Reddy,"1.	DAR
a.	Free text field
b.	Numerical and alphabets are accepted (character length – max 50).
c.	Optional field
2.	Conjugation Group, Conjugation AA, SS Conjugation and Bystander fields
a.	Dropdown fields 
b.	Ability to only select one value from the dropdown
c.	Optional fields
3.	By default, no values selected for these fields
4.	PET ref link http://admin.larvolinsight.com/Entities/ProductManager/ProductFlatform.aspx?ProductId=3b768725-0141-4c22-b1a7-ac26013be360  
5.	Update the Product entity API to add the fields: DAR, Conjugation Group, Conjugation AA, SS Conjugation and Bystander.
",https://www.pivotaltracker.com/story/show/187312231,Abhay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187312239,Story 3: List of options to be shown in the dropdown for the new fields,pet enhancemetnsz,676,07-May-24,13-May-24,feature,3,p3 - Low,accepted,26-Mar-24,13-May-24,,Sreedhar Reddy,"1.	For Conjugation Group, show following values in dropdown in alphabetical order
a.	Maleimidocaproyl
b.	Disulfide
c.	Thioether
d.	Thiobridge
e.	Thiol
f.	Transglutaminase
g.	Maleimide
h.	Oxime
i.	Q295
j.	DBCO 
k.	Bromoacetamide
l.	Sulfo
m.	Maleimido-PEG2
n.	Farnesyltransferase
o.	Proprietary CysLink
2.	Default show only Choose in the field and this is optional field with ability to select on value from dropdown
3.	If user wants to remove a selection option then can select Choose from dropdown which implies no value selected
4.	For “Conjugation AA” show following values in dropdown in alphabetical order
a.	Cysteine
b.	Lysine
c.	Arginine
d.	Glycine
e.	Engineered Cysteine
f.	Para-acetylphenylalanine
g.	Glutamine
h.	P-azidomethyl phenylalanine
i.	Phenylalanine
j.	Formylglycine
5.	Default show only Choose in the field and this is optional field with ability to select on value from dropdown
6.	If user wants to remove a selection option then can select Choose from dropdown which implies no value selected
7.	For “SS Conjugation” show following values in dropdown in order given below
a.	Site-specific
b.	Non-specific
c.	Homogeneous
8.	Default show only Choose in the field and this is optional field with ability to select on value from dropdown
9.	If user wants to remove a selection option then can select Choose from dropdown which implies no value selected
10.	For “Bystander” show following values in dropdown in order given below
a.	Yes
b.	No
c.	Minimal
d.	Controlled
e.	Strong
11.	Default show only Choose in the field and this is optional field with ability to select on value from dropdown
12.	If user wants to remove a selection option then can select Choose from dropdown which implies no value selected
",https://www.pivotaltracker.com/story/show/187312239,Abhay Kumar,," (Sreedhar Reddy - Mar 26, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187312243,"Story 4: PET Excel export should have columns to display DAR, Conjugation Group, Conjugation AA, SS Conjugation, and Bystander information.",pet enhancemetnsz,678,21-May-24,27-May-24,feature,3,p3 - Low,accepted,26-Mar-24,23-May-24,,Sreedhar Reddy,"1.	To add to Excel export and in the grid
2.	In export, add columns with the headings ""DAR”, “Conjugation Group”, “Conjugation AA”, “SS Conjugation” and “Bystander"" on the right side of the ADC Antibody column in both sheets - ""Product"" and ""Product Details.""
3.	If no ""DAR”, “Conjugation Group”, “Conjugation AA”, “SS Conjugation” or “Bystander"" is associated with the product, it will have a blank/empty cell for the respective product.
4.	If ""DAR”, “Conjugation Group”, “Conjugation AA”, “SS Conjugation” or “Bystander"" is associated with the product, it will show the selected option. 
",https://www.pivotaltracker.com/story/show/187312243,Abhay Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
